"id","gender","overall6","address2","lcpoints","lcmaths","mathlev1","lcphysic","havephy","lcchem","havechem","lcappmth","haveappm","lcenr","haveenr","lcpch","havepch","lctdr","havetdr","caochc2","core1","core2","core3","award"
155,1,1,1,275,25,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,4,"maths","mech","engsci",1
156,1,1,2,270,40,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,"maths","mech","engsci",1
157,1,1,2,345,60,1,0,1,NA,0,NA,0,NA,0,NA,0,85,1,1,"maths","mech","engsci",1
158,1,1,3,295,50,2,40,1,30,1,NA,0,NA,0,NA,0,70,1,3,"maths","mech","engsci",1
159,1,1,1,310,40,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,3,"maths","mech","engsci",1
160,1,1,3,330,30,1,NA,0,NA,0,NA,0,75,1,NA,0,NA,0,2,"maths","mech","engsci",1
161,1,1,1,290,40,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,4,"maths","mech","engsci",1
162,1,1,1,375,40,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
163,1,1,2,300,15,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,3,"maths","mech","engsci",1
164,1,1,1,350,60,2,50,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
165,1,0,1,350,30,1,35,1,30,1,NA,0,NA,0,NA,0,NA,0,3,"maths","mech","engsci",1
166,1,0,2,405,45,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
167,1,0,2,440,50,1,55,1,NA,0,NA,0,80,1,NA,0,NA,0,1,"maths","mech","engsci",1
168,1,0,3,355,25,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
169,1,0,3,310,50,1,15,1,NA,0,NA,0,75,1,NA,0,NA,0,1,"maths","mech","engsci",1
170,1,0,2,400,60,1,80,1,NA,0,NA,0,NA,0,NA,0,60,1,1,"maths","mech","engsci",1
171,1,0,2,390,50,2,NA,0,NA,0,NA,0,85,1,NA,0,NA,0,1,"maths","mech","engsci",1
172,1,0,2,335,60,1,NA,0,50,1,NA,0,NA,0,NA,0,65,1,1,"maths","mech","engsci",1
173,1,0,2,320,35,1,NA,0,NA,0,NA,0,NA,0,NA,0,60,1,1,"maths","mech","engsci",1
174,1,0,2,370,45,1,NA,0,45,1,NA,0,NA,0,NA,0,75,1,1,"maths","mech","engsci",1
175,1,0,1,315,45,1,45,1,NA,0,NA,0,75,1,NA,0,55,1,1,"maths","mech","engsci",1
176,1,0,1,335,35,1,25,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
177,1,0,2,320,20,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
178,0,0,2,325,50,2,0,1,NA,0,NA,0,NA,0,NA,0,70,1,1,"maths","mech","engsci",1
179,0,0,2,350,45,2,0,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
180,1,1,3,390,50,2,NA,0,NA,0,NA,0,85,1,NA,0,NA,0,1,"maths","mech","engsci",1
181,1,1,3,380,15,1,NA,0,NA,0,NA,0,80,1,NA,0,NA,0,1,"maths","mech","engsci",1
182,1,1,2,335,55,2,60,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
183,1,1,3,365,50,1,25,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
184,1,1,3,325,55,2,45,1,NA,0,45,1,NA,0,NA,0,65,1,2,"maths","mech","engsci",1
185,1,1,2,340,50,1,NA,0,NA,0,NA,0,90,1,NA,0,NA,0,2,"maths","mech","engsci",1
186,1,1,3,360,50,1,NA,0,NA,0,NA,0,NA,0,70,1,NA,0,1,"maths","mech","engsci",1
187,1,1,2,350,65,2,45,1,NA,0,NA,0,90,1,NA,0,75,1,1,"maths","mech","engsci",1
188,1,1,2,330,60,2,50,1,NA,0,50,1,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
189,1,1,2,320,45,2,NA,0,NA,0,NA,0,NA,0,NA,0,75,1,3,"maths","mech","engsci",1
190,1,1,2,320,65,2,NA,0,NA,0,NA,0,NA,0,NA,0,60,1,3,"maths","mech","engsci",1
191,1,1,1,335,55,2,35,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
192,1,1,3,325,55,2,NA,0,NA,0,NA,0,80,1,50,1,80,1,1,"maths","mech","engsci",1
193,1,1,2,365,40,1,65,1,NA,0,NA,0,90,1,NA,0,NA,0,1,"maths","mech","engsci",1
194,1,1,3,410,20,1,NA,0,NA,0,NA,0,85,1,NA,0,70,1,1,"maths","mech","engsci",1
195,1,1,3,410,50,2,50,1,NA,0,NA,0,100,1,NA,0,NA,0,1,"maths","mech","engsci",1
196,1,1,3,340,50,1,40,1,NA,0,NA,0,85,1,NA,0,90,1,1,"maths","mech","engsci",1
197,1,1,1,345,40,1,NA,0,NA,0,NA,0,75,1,NA,0,NA,0,1,"maths","mech","engsci",1
198,0,1,1,410,50,1,NA,0,55,1,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
199,1,1,2,320,40,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,"maths","mech","engsci",1
200,1,1,1,340,80,2,45,1,NA,0,NA,0,NA,0,NA,0,65,1,2,"maths","mech","engsci",1
201,1,1,2,380,40,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
202,1,1,2,265,45,2,65,1,40,1,50,1,NA,0,NA,0,65,1,2,"maths","mech","engsci",1
203,1,1,2,350,50,2,45,1,NA,0,NA,0,90,1,NA,0,NA,0,1,"maths","mech","engsci",1
204,1,1,1,355,50,2,35,1,NA,0,NA,0,90,1,NA,0,NA,0,1,"maths","mech","engsci",1
205,1,1,3,420,50,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
206,1,1,1,325,40,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
207,0,1,1,335,40,1,0,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
208,1,1,2,345,45,2,50,1,NA,0,NA,0,80,1,NA,0,NA,0,2,"maths","mech","engsci",1
209,0,1,2,385,30,1,NA,0,NA,0,NA,0,80,1,NA,0,NA,0,1,"maths","mech","engsci",1
210,1,1,3,365,35,1,NA,0,NA,0,NA,0,100,1,NA,0,NA,0,1,"maths","mech","engsci",1
211,1,1,1,345,45,1,NA,0,NA,0,NA,0,70,1,NA,0,NA,0,2,"maths","mech","engsci",1
212,1,1,3,280,45,2,45,1,35,1,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
213,1,1,2,355,25,1,NA,0,NA,0,NA,0,70,1,NA,0,NA,0,1,"maths","mech","engsci",1
214,1,1,2,395,35,1,45,1,NA,0,NA,0,85,1,NA,0,NA,0,1,"maths","mech","engsci",1
215,1,1,3,385,45,1,NA,0,NA,0,NA,0,NA,0,NA,0,60,1,1,"maths","mech","engsci",1
216,1,1,1,335,30,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
217,1,1,2,375,60,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
218,1,1,2,345,35,1,45,1,NA,0,NA,0,90,1,NA,0,NA,0,2,"maths","mech","engsci",1
219,1,1,1,330,50,1,NA,0,NA,0,NA,0,NA,0,NA,0,60,1,2,"maths","mech","engsci",1
220,1,1,3,375,40,1,NA,0,NA,0,NA,0,85,1,45,1,75,1,1,"maths","mech","engsci",1
221,1,1,2,335,55,2,65,1,70,1,NA,0,NA,0,NA,0,80,1,1,"maths","mech","engsci",1
222,1,1,1,330,15,1,NA,0,NA,0,NA,0,NA,0,NA,0,45,1,4,"maths","mech","engsci",1
223,1,1,3,330,25,1,0,1,NA,0,NA,0,NA,0,NA,0,75,1,1,"maths","mech","engsci",1
224,1,1,3,375,60,2,55,1,55,1,NA,0,NA,0,NA,0,70,1,1,"maths","mech","engsci",1
225,1,1,2,365,50,1,45,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
226,1,1,2,425,60,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
227,1,1,3,365,50,2,55,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
228,0,1,2,350,50,1,55,1,70,1,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
229,1,1,3,345,55,2,65,1,NA,0,NA,0,90,1,NA,0,50,1,1,"maths","mech","engsci",1
230,1,0,2,305,35,1,NA,0,NA,0,NA,0,75,1,NA,0,NA,0,1,"maths","mech","engsci",1
231,1,0,1,255,30,1,NA,0,NA,0,NA,0,NA,0,NA,0,5,1,4,"maths","mech","engsci",1
232,1,0,1,280,30,1,NA,0,NA,0,NA,0,70,1,NA,0,NA,0,2,"maths","mech","engsci",1
233,1,0,1,170,5,1,NA,0,NA,0,NA,0,50,1,NA,0,NA,0,3,"maths","mech","engsci",1
